DEBUG 2024-10-03 21:39:18,977 autoreload File C:\Python312\Lib\copyreg.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:18,978 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1724941162.690347
DEBUG 2024-10-03 21:39:18,980 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1724941162.6692994
DEBUG 2024-10-03 21:39:18,981 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1724941163.003433
DEBUG 2024-10-03 21:39:18,982 autoreload File C:\Python312\Lib\email\_encoded_words.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:18,983 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\template\base.py first seen with mtime 1724941162.9874375
DEBUG 2024-10-03 21:39:18,984 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1724941162.7123468
DEBUG 2024-10-03 21:39:18,986 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1724941173.7882977
DEBUG 2024-10-03 21:39:18,987 autoreload File C:\Python312\Lib\quopri.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:18,988 autoreload File C:\Python312\Lib\wsgiref\util.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:18,989 autoreload File C:\Python312\Lib\tempfile.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:18,989 autoreload File C:\Python312\Lib\email\mime\nonmultipart.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:18,990 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\my_project\__init__.py first seen with mtime 1724268433.9188738
DEBUG 2024-10-03 21:39:18,991 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\views\i18n.py first seen with mtime 1724941163.0639272
DEBUG 2024-10-03 21:39:18,992 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1724941163.007432
DEBUG 2024-10-03 21:39:18,993 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1724941163.0334325
DEBUG 2024-10-03 21:39:18,994 autoreload File C:\Python312\Lib\pathlib.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:18,995 autoreload File C:\Python312\Lib\enum.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:18,996 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\signing.py first seen with mtime 1724941162.6783006
DEBUG 2024-10-03 21:39:18,996 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\settings.py first seen with mtime 1724941173.7913146
DEBUG 2024-10-03 21:39:18,997 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1724941161.696187
DEBUG 2024-10-03 21:39:18,998 autoreload File C:\Python312\DLLs\_asyncio.pyd first seen with mtime 1722974596.0
DEBUG 2024-10-03 21:39:18,999 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1724941162.6703
DEBUG 2024-10-03 21:39:19,000 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\models\base.py first seen with mtime 1724941162.8222835
DEBUG 2024-10-03 21:39:19,001 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\urlpatterns.py first seen with mtime 1724941173.7953234
DEBUG 2024-10-03 21:39:19,002 autoreload File C:\Python312\Lib\importlib\_abc.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,003 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1724941162.7133467
DEBUG 2024-10-03 21:39:19,004 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1724941174.009292
DEBUG 2024-10-03 21:39:19,006 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\utils\inspect.py first seen with mtime 1724941163.0394375
DEBUG 2024-10-03 21:39:19,007 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\sqlparse\utils.py first seen with mtime 1724941158.1937623
DEBUG 2024-10-03 21:39:19,008 autoreload File C:\Python312\Lib\gzip.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:19,009 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1724941163.006432
DEBUG 2024-10-03 21:39:19,011 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1724941160.125538
DEBUG 2024-10-03 21:39:19,012 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1724941162.8384278
DEBUG 2024-10-03 21:39:19,013 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\transaction.py first seen with mtime 1724941162.7563825
DEBUG 2024-10-03 21:39:19,014 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1724941174.007294
DEBUG 2024-10-03 21:39:19,015 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1724941162.7113469
DEBUG 2024-10-03 21:39:19,016 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1724941158.1895976
DEBUG 2024-10-03 21:39:19,017 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\authtoken\admin.py first seen with mtime 1724941173.8012912
DEBUG 2024-10-03 21:39:19,018 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1724941162.8615813
DEBUG 2024-10-03 21:39:19,020 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1724941160.116539
DEBUG 2024-10-03 21:39:19,021 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1724941162.7603776
DEBUG 2024-10-03 21:39:19,021 autoreload File C:\Python312\Lib\asyncio\sslproto.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:19,023 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1724941158.2017653
DEBUG 2024-10-03 21:39:19,023 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1724941160.3697555
DEBUG 2024-10-03 21:39:19,024 autoreload File C:\Python312\Lib\re\_parser.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,025 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\landtitles\serializers.py first seen with mtime 1727987765.0592675
DEBUG 2024-10-03 21:39:19,026 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1724941158.1885996
DEBUG 2024-10-03 21:39:19,027 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1724941162.7994695
DEBUG 2024-10-03 21:39:19,028 autoreload File C:\Python312\Lib\mimetypes.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,030 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1724941162.6822977
DEBUG 2024-10-03 21:39:19,067 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\template\autoreload.py first seen with mtime 1724941162.9864342
DEBUG 2024-10-03 21:39:19,068 autoreload File C:\Python312\Lib\asyncio\proactor_events.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:19,070 autoreload File C:\Python312\Lib\_weakrefset.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:19,071 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1724941162.6692994
DEBUG 2024-10-03 21:39:19,072 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\files\base.py first seen with mtime 1724941162.6983469
DEBUG 2024-10-03 21:39:19,073 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\http\response.py first seen with mtime 1724941162.9764674
DEBUG 2024-10-03 21:39:19,074 autoreload File C:\Python312\Lib\urllib\request.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,075 autoreload File C:\Python312\Lib\ast.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:19,076 autoreload File C:\Python312\Lib\email\feedparser.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:19,077 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\negotiation.py first seen with mtime 1724941173.7813034
DEBUG 2024-10-03 21:39:19,078 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1724941162.7593763
DEBUG 2024-10-03 21:39:19,079 autoreload File C:\Python312\Lib\dataclasses.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:19,080 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1724941160.3655353
DEBUG 2024-10-03 21:39:19,082 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1724941174.0052998
DEBUG 2024-10-03 21:39:19,083 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1724941163.0474367
DEBUG 2024-10-03 21:39:19,084 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\my_project\settings.py first seen with mtime 1727987956.2777398
DEBUG 2024-10-03 21:39:19,085 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1724941163.0454392
DEBUG 2024-10-03 21:39:19,086 autoreload File C:\Python312\DLLs\_zoneinfo.pyd first seen with mtime 1722974596.0
DEBUG 2024-10-03 21:39:19,089 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\files\images.py first seen with mtime 1724941162.699345
DEBUG 2024-10-03 21:39:19,090 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1724941162.8142784
DEBUG 2024-10-03 21:39:19,091 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\utils\timezone.py first seen with mtime 1724941163.050075
DEBUG 2024-10-03 21:39:19,093 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\landtitles\apps.py first seen with mtime 1724268432.9148345
DEBUG 2024-10-03 21:39:19,093 autoreload File C:\Python312\Lib\threading.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,095 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1724941162.157899
DEBUG 2024-10-03 21:39:19,096 autoreload File C:\Python312\Lib\types.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,097 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1724941162.8142784
DEBUG 2024-10-03 21:39:19,098 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1724941162.688347
DEBUG 2024-10-03 21:39:19,098 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1724941162.8004692
DEBUG 2024-10-03 21:39:19,099 autoreload File C:\Python312\Lib\linecache.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,100 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\utils\encoding.py first seen with mtime 1724941163.035438
DEBUG 2024-10-03 21:39:19,101 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1724941160.3797557
DEBUG 2024-10-03 21:39:19,102 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1724941174.0102956
DEBUG 2024-10-03 21:39:19,103 autoreload File C:\Python312\DLLs\_ctypes.pyd first seen with mtime 1722974596.0
DEBUG 2024-10-03 21:39:19,103 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1724941162.693347
DEBUG 2024-10-03 21:39:19,104 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1724941160.1245377
DEBUG 2024-10-03 21:39:19,105 autoreload File C:\Python312\Lib\asyncio\windows_utils.py first seen with mtime 1722974550.0
DEBUG 2024-10-03 21:39:19,106 autoreload File C:\Python312\Lib\platform.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,107 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\urls\converters.py first seen with mtime 1724941163.0204327
DEBUG 2024-10-03 21:39:19,107 autoreload File C:\Python312\Lib\urllib\__init__.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,108 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1724941162.664296
DEBUG 2024-10-03 21:39:19,109 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\utils\connection.py first seen with mtime 1724941163.0274334
DEBUG 2024-10-03 21:39:19,110 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1724941173.77029
DEBUG 2024-10-03 21:39:19,111 autoreload File C:\Python312\Lib\secrets.py first seen with mtime 1722974552.0
DEBUG 2024-10-03 21:39:19,112 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1724941160.3747551
DEBUG 2024-10-03 21:39:19,113 autoreload File C:\Users\Rachelle\Desktop\Project\Application\Landtitles\landbackend\environment\Lib\site-packages\django\core\files\utils.py first seen with mtime 1724941162.704355
